"Space Group" "Crystal System" "Asymmetric Unit" Symmetries "Orbit Period" "Unit Cell"
139 Tetragonal 4 x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-y,-x,-z;y,x,-z;y,-x,z;-y,x,z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;y,x,z;-y,-x,z;-y,x,-z;y,-x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-y+1/2,-x+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;y+1/2,-x+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;y+1/2,x+1/2,z+1/2;-y+1/2,-x+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2 32 13.071,13.071,5.256,90.0,90.0,90.0
140 Tetragonal 9 x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-y,-x,-z+1/2;y,x,-z+1/2;y,-x,z;-y,x,z;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2;y,x,z+1/2;-y,-x,z+1/2;-y,x,-z;y,-x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;y+1/2,-x+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;-y+1/2,x+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2 32 18.0833,18.0833,8.9859,90.0,90.0,90.0
141 Tetragonal 5 x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-y+1/4,-x+1/4,-z+3/4;y+1/4,x+3/4,-z+1/4;y+1/4,-x+1/4,z+3/4;-y+1/4,x+3/4,z+1/4;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z;y+1/4,x+1/4,z+3/4;-y+1/4,-x+3/4,z+1/4;-y+1/4,x+1/4,-z+3/4;y+1/4,-x+3/4,-z+1/4;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-y+3/4,-x+3/4,-z+1/4;y+3/4,x+1/4,-z+3/4;y+3/4,-x+3/4,z+1/4;-y+3/4,x+1/4,z+3/4;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y,z+1/2;y+3/4,x+3/4,z+1/4;-y+3/4,-x+1/4,z+3/4;-y+3/4,x+3/4,-z+1/4;y+3/4,-x+1/4,-z+3/4 32 13.85,13.85,6.42,90.0,90.0,90.0
159 Trigonal 38 x,y,z;-y,x-y,z;-x+y,-x,z;y,x,z+1/2;-x,-x+y,z+1/2;x-y,-y,z+1/2 6 19.8011,19.8011,14.1878,90.0,90.0,120.0
162 Trigonal 7 x,y,z;-y,x-y,z;-x+y,-x,z;-y,-x,-z;x,x-y,-z;-x+y,y,-z;-x,-y,-z;y,-x+y,-z;x-y,x,-z;y,x,z;-x,-x+y,z;x-y,-y,z 12 12.33,12.33,8.603,90.0,90.0,120.0
164 Trigonal 11 x,y,z;-y,x-y,z;-x+y,-x,z;x-y,-y,-z;-x,-x+y,-z;y,x,-z;-x,-y,-z;y,-x+y,-z;x-y,x,-z;-x+y,y,z;x,x-y,z;-y,-x,z 12 13.2261,13.2261,12.5838,90.0,90.0,120.0
166 Trigonal 5 x,y,z;-y,x-y,z;-x+y,-x,z;x-y,-y,-z;-x,-x+y,-z;y,x,-z;-x,-y,-z;y,-x+y,-z;x-y,x,-z;-x+y,y,z;x,x-y,z;-y,-x,z;x+2/3,y+1/3,z+1/3;x+1/3,y+2/3,z+2/3;-y+2/3,x-y+1/3,z+1/3;-y+1/3,x-y+2/3,z+2/3;-x+y+2/3,-x+1/3,z+1/3;-x+y+1/3,-x+2/3,z+2/3;x-y+2/3,-y+1/3,-z+1/3;x-y+1/3,-y+2/3,-z+2/3;-x+2/3,-x+y+1/3,-z+1/3;-x+1/3,-x+y+2/3,-z+2/3;y+2/3,x+1/3,-z+1/3;y+1/3,x+2/3,-z+2/3;-x+2/3,-y+1/3,-z+1/3;-x+1/3,-y+2/3,-z+2/3;y+2/3,-x+y+1/3,-z+1/3;y+1/3,-x+y+2/3,-z+2/3;x-y+2/3,x+1/3,-z+1/3;x-y+1/3,x+2/3,-z+2/3;-x+y+2/3,y+1/3,z+1/3;-x+y+1/3,y+2/3,z+2/3;x+2/3,x-y+1/3,z+1/3;x+1/3,x-y+2/3,z+2/3;-y+2/3,-x+1/3,z+1/3;-y+1/3,-x+2/3,z+2/3 36 20.914,20.914,5.061,90.0,90.0,120.0
176 Hexagonal 11 x,y,z;-x,-y,z+1/2;-y,x-y,z;-x+y,-x,z;x-y,x,z+1/2;y,-x+y,z+1/2;-x,-y,-z;x,y,-z+1/2;y,-x+y,-z;x-y,x,-z;-x+y,-x,-z+1/2;-y,x-y,-z+1/2 12 13.114,13.114,15.563,90.0,90.0,120.0
178 Hexagonal 17 x,y,z;-x,-y,z+1/2;-y,x-y,z+1/3;-x+y,-x,z+2/3;x-y,x,z+1/6;y,-x+y,z+5/6;x-y,-y,-z;-x,-x+y,-z+2/3;y,x,-z+1/3;-y,-x,-z+5/6;x,x-y,-z+1/6;-x+y,y,-z+1/2 12 11.887,11.887,29.915,90.0,90.0,120.0
180 Hexagonal 4 x,y,z;-x,-y,z;-y,x-y,z+2/3;-x+y,-x,z+1/3;x-y,x,z+1/3;y,-x+y,z+2/3;x-y,-y,-z;-x,-x+y,-z+1/3;y,x,-z+2/3;-y,-x,-z+2/3;x,x-y,-z+1/3;-x+y,y,-z 12 10.101,10.101,7.647,90.0,90.0,120.0
